Time resolution is 1 ps
[10750000 ns] led_out = 0011111111111111
[10770000 ns] led_out = 0001111111111111
[10790000 ns] led_out = 0000111111111111
[10810000 ns] led_out = 0001111111111111
[10830000 ns] led_out = 0011111111111111
[10850000 ns] led_out = 0111111111111111
[10870000 ns] led_out = 1111111111111111
[10890000 ns] led_out = 1111111111111110
[10910000 ns] led_out = 1111111111111100
[10930000 ns] led_out = 1111111111111000
[10950000 ns] led_out = 1111111111110000
[10970000 ns] led_out = 1111111111111000
[10990000 ns] led_out = 1111111111111100
[11010000 ns] led_out = 1111111111111110
[11030000 ns] led_out = 1111111111111111
[11050000 ns] led_out = 1111111111111110
[11070000 ns] led_out = 1111111111111100
[11090000 ns] led_out = 1111111111111000
[11110000 ns] led_out = 1111111111110000
[11130000 ns] led_out = 1111111111100000
[11150000 ns] led_out = 1111111111000000
[11170000 ns] led_out = 1111111110000000
[11190000 ns] led_out = 1111111100000000
[11210000 ns] led_out = 1111111110000000
[11230000 ns] led_out = 1111111111000000
[11250000 ns] led_out = 1111111111100000
[11270000 ns] led_out = 1111111111110000
[11290000 ns] led_out = 1111111111100000
[11310000 ns] led_out = 1111111111000000
[11330000 ns] led_out = 1111111110000000
[11350000 ns] led_out = 1111111100000000
[11370000 ns] led_out = 1111111000000000
[11390000 ns] led_out = 1111110000000000
[11410000 ns] led_out = 1111100000000000
[11430000 ns] led_out = 1111000000000000
[11450000 ns] led_out = 1111100000000000
[11470000 ns] led_out = 1111110000000000
[11490000 ns] led_out = 1111111000000000
[11510000 ns] led_out = 1111111100000000
[11530000 ns] led_out = 1111111000000000
[11550000 ns] led_out = 1111110000000000
[11570000 ns] led_out = 1111100000000000
[11590000 ns] led_out = 1111000000000000
[11610000 ns] led_out = 1110000000000000
[11630000 ns] led_out = 1100000000000000
[11650000 ns] led_out = 1000000000000000
[11670000 ns] led_out = 0000000000000000
[11690000 ns] led_out = 1000000000000000
[11710000 ns] led_out = 1100000000000000
[11730000 ns] led_out = 1110000000000000
[11750000 ns] led_out = 1111000000000000
[11770000 ns] led_out = 1110000000000000
[11790000 ns] led_out = 1100000000000000
[11810000 ns] led_out = 1000000000000000
[11830000 ns] led_out = 0000000000000000
[11850000 ns] led_out = 0000000000000001
[11870000 ns] led_out = 0000000000000011
[11890000 ns] led_out = 0000000000000111
[11910000 ns] led_out = 0000000000001111
[11930000 ns] led_out = 0000000000000111
[11950000 ns] led_out = 0000000000000011
[11970000 ns] led_out = 0000000000000001
[11990000 ns] led_out = 0000000000000000
[12010000 ns] led_out = 0000000000000001
[12030000 ns] led_out = 0000000000000011
[12050000 ns] led_out = 0000000000000111
[12070000 ns] led_out = 0000000000001111
[12090000 ns] led_out = 0000000000011111
[12110000 ns] led_out = 0000000000111111
[12130000 ns] led_out = 0000000001111111
[12150000 ns] led_out = 0000000011111111
[12170000 ns] led_out = 0000000001111111
[12190000 ns] led_out = 0000000000111111
[12210000 ns] led_out = 0000000000011111
[12230000 ns] led_out = 0000000000001111
[12250000 ns] led_out = 0000000000011111
[12270000 ns] led_out = 0000000000111111
[12290000 ns] led_out = 0000000001111111
[12310000 ns] led_out = 0000000011111111
[12330000 ns] led_out = 0000000111111111
[12350000 ns] led_out = 0000001111111111
[12370000 ns] led_out = 0000011111111111
[12390000 ns] led_out = 0000111111111111
[12410000 ns] led_out = 0000011111111111
[12430000 ns] led_out = 0000001111111111
[12450000 ns] led_out = 0000000111111111
[12470000 ns] led_out = 0000000011111111
[12490000 ns] led_out = 0000000111111111
[12510000 ns] led_out = 0000001111111111
[12530000 ns] led_out = 0000011111111111
[12550000 ns] led_out = 0000111111111111
[12570000 ns] led_out = 0001111111111111
[12590000 ns] led_out = 0011111111111111
[12610000 ns] led_out = 0111111111111111
[12630000 ns] led_out = 1111111111111111
[12650000 ns] led_out = 0111111111111111
[12670000 ns] led_out = 0011111111111111
[12690000 ns] led_out = 0001111111111111
[12710000 ns] led_out = 0000111111111111
[12730000 ns] led_out = 0001111111111111
[12750000 ns] led_out = 0011111111111111
[12770000 ns] led_out = 0111111111111111
[12790000 ns] led_out = 1111111111111111
[12810000 ns] led_out = 1111111111111110
[12830000 ns] led_out = 1111111111111100
[12850000 ns] led_out = 1111111111111000
[12870000 ns] led_out = 1111111111110000
[12890000 ns] led_out = 1111111111111000
[12910000 ns] led_out = 1111111111111100
[12930000 ns] led_out = 1111111111111110
[12950000 ns] led_out = 1111111111111111
[12970000 ns] led_out = 1111111111111110
[12990000 ns] led_out = 1111111111111100
[13010000 ns] led_out = 1111111111111000
